id,name,city,zip_code,region,department
"7f7aa51c-8b87-427c-a2f9-418b9823d578","Club Nautique Leonnais","Messanges","40550","France",""
"9a4b2e31-825d-4503-a91a-256dc42e5c1d","Yachting Club Pointe Rouge","13008 Marseille","13008","PACA","13"
"8e8b72c0-8142-40b3-8491-aa48365d9d8b","School Sailing Oceans Guide","13008 Marseille","13008","PACA","13"
"07fb3278-fd23-4c30-93bc-89e823715059","Eau Large De noe","13008 Marseille","13008","PACA","13"
"851086fa-d472-4002-98c6-734bb2d385f2","Base Nautique du Train des Sables","13008 Marseille","13008","PACA","13"
"4d6a38f9-f0dc-42cd-a56c-4ab8eb9538b2","Société nautique de Marseille","13007 Marseille","13007","PACA","13"
"990b9fc1-3b09-4c73-8812-1f6c8b504213","ATSCAF Voile.","13008 Marseille","13008","PACA","13"
"5f5d612c-e0fe-4437-a744-2ce49598976f","Centre Nautique D'Erquy","Lannion","22430","France",""
"967cde51-6f4e-4b07-8613-2459ea19bb7e","Union Nautique Marseillaise","13007 Marseille","13007","PACA","13"
"04127037-348b-4020-9869-609950309e69","Pacific Palissades","13008 Marseille","13008","PACA","13"
"1bc4ad7b-0a80-4d25-bae3-3bc0257ccdbe","Sidereal Time's Club","Port de la Pointe Rouge","13008","PACA","13"
"5f290ee2-b339-46fc-baf0-c16578e7aac5","Ecole de voile et de kayak","France","13016","PACA","13"
"ce8f080b-3da7-44d4-94ba-642757a4436a","Nautical Club Provençal Scientific Research","13008 Marseille","13008","PACA","13"
"bb8dc987-6792-41cf-b99a-d1f0a58c51da","Nautical Club of Ares","Jarnac","33740","France",""
"ca757926-f0b6-4bb4-b36f-0b6260d3ed9b","Veil Impulsion","13016 Marseille","13016","PACA","13"
"dc48698d-d19d-41b4-8a6c-4ffdcdc85df2","Socièté Nautical Corniche","13007 Marseille","13007","PACA","13"
"fa6041a0-79ff-4319-a815-eda97a7374fd","Centre nautique de Ploudalmézeau-Portsall","Lampaul-Plouarzel","29830","France",""
"48d09b0e-ca6e-460d-acee-b36702d15f52","Yacht Club La Croisette","Square de Verdun","06400","PACA","06"
"f37e187e-c9d8-4a7f-834d-56ff06b02286","Cannes Yacht Club","Bd de la Croisette","06400","PACA","06"
"c4baf1a4-1d88-4514-aea1-09755ff475ec","Club de voile Mer et Montagne","06400 Cannes","06400","PACA","06"
"f4c06175-58a2-47d7-a746-5fbbccac97d7","Le Boreale - Les Voiles Oceane - Balade En Mer","Vannes","56000","Bretagne",""
"f0583d29-3db8-40c4-842a-06b37cca7cb4","Club30kite","Grau-du-Roi","30240","France",""
"c1dac798-ba37-4dbe-8309-b94bc636f9a5","Club de voile ASPTT","06400 Cannes","06400","PACA","06"
"00e3da9d-89ee-4a3b-be3e-4d95249749ee","Water Base Batéguier Florence Arthaud","06400 Cannes","06400","PACA","06"
